"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year45",45,60.7773468218632,1.91043702447428,50,5.51437670539565,0.184100281216857,50,1.3671555772611,0.394041420459589,50,-20.0687456439577,2.79648686493226,50,0.857572386887031,1.48026356905084,50,-20.8035327173453,2.51538415213198,50
"year46",46,61.8515660778649,1.96036398648638,50,5.60263058668831,0.187676624790874,50,1.4220991585038,0.409355962571513,50,-20.2261890266022,2.82853800262367,50,0.888395709995821,1.50434974780529,50,-20.9875121219843,2.53763085253754,50
"year47",47,62.8678387415449,2.00994761026394,50,5.68784434660456,0.191295084591702,50,1.4775147751927,0.424785004564779,50,-20.3720277449495,2.86035996483255,50,0.920012568039299,1.52843385097401,50,-21.1605770291159,2.55816533595458,50
"year48",48,63.9205617338009,2.06050239543779,50,5.7659643424688,0.194723196847476,50,1.53323406990668,0.440282485035846,50,-20.5529971638823,2.88005346335435,50,0.923278456598447,1.53116569540483,50,-21.3443364977431,2.57937828102364,50
"year49",49,64.9712380928451,2.11134344223982,50,5.83457143600791,0.197818699216382,50,1.58900021657807,0.455769472323552,50,-20.7723066993231,2.88555909509731,50,0.893067801359603,1.50841551475581,50,-21.5376237715082,2.60142760056116,50
"year50",50,65.7593060529984,2.15922230728002,50,5.89710339783503,0.200797040860999,50,1.6448475699604,0.47125371183751,50,-20.96009682606,2.888986088488,50,0.862930153328678,1.48494631602761,50,-21.6995384296474,2.62004353097013,50
"year51",51,66.6032068675038,2.20780952278692,50,5.9544269204287,0.203763245894149,50,1.70085540050979,0.486762227303054,50,-21.1481623683492,2.89471512016142,50,0.834846849302102,1.46138049562891,50,-21.8634658162337,2.63867005848887,50
"year52",52,67.2894341082271,2.25545673882179,50,6.00696127217603,0.206743658862531,50,1.75702376141184,0.502298130771623,50,-21.3219591893682,2.90030421172566,50,0.809508743909021,1.43607699275829,50,-22.015556624712,2.65612794136889,50
"year53",53,67.9330570456378,2.30231519810159,50,6.05675812202605,0.209740060067941,50,1.81311831156815,0.517793921374829,50,-21.5308982470802,2.892912960082,50,0.745208381932999,1.37113746557399,50,-22.1693631480207,2.6742940217023,50
"year54",54,68.0351035870596,2.34343720235248,50,6.10885871738941,0.21276334520605,50,1.8689651991718,0.533198628669316,50,-21.7633765973708,2.80004220982435,50,0.594714118816203,1.16729074123056,50,-22.2722916949042,2.68265040666806,50
